,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,AAPL,2015-05-27 00:00:00+00:00,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.88068506280001,119.8441183458,120.11136013219999,45833246,0.0,1.0
1,AAPL,2015-05-28 00:00:00+00:00,131.78,131.95,131.1,131.86,30733309,121.4383538301,121.5950128084,120.8117179172,121.5120757022,30733309,0.0,1.0
2,AAPL,2015-05-29 00:00:00+00:00,130.28,131.45,129.9,131.23,50884452,120.0560687281,121.13425110770001,119.70588983559999,120.9315159594,50884452,0.0,1.0
3,AAPL,2015-06-01 00:00:00+00:00,130.535,131.39,130.05,131.2,32112797,120.29105719549999,121.0789597036,119.8441183458,120.9038702574,32112797,0.0,1.0
4,AAPL,2015-06-02 00:00:00+00:00,129.96,130.655,129.32,129.86,33667627,119.7611812397,120.40164000360001,119.1714062628,119.6690288995,33667627,0.0,1.0
5,AAPL,2015-06-03 00:00:00+00:00,130.12,130.94,129.9,130.66,30983542,119.9086249839,120.664274173,119.70588983559999,120.4062476206,30983542,0.0,1.0
6,AAPL,2015-06-04 00:00:00+00:00,129.36,130.58,128.91,129.58,38450118,119.20826719889999,120.3325257485,118.79358166829999,119.4110023472,38450118,0.0,1.0
7,AAPL,2015-06-05 00:00:00+00:00,128.65,129.69,128.36,129.5,35626800,118.55398558389999,119.51236992129999,118.2867437975,119.3372804751,35626800,0.0,1.0
8,AAPL,2015-06-08 00:00:00+00:00,127.8,129.21,126.83,128.9,52674786,117.7706906928,119.07003868870001,116.87681299340001,118.7843664342,52674786,0.0,1.0
9,AAPL,2015-06-09 00:00:00+00:00,127.42,128.08,125.62,126.7,56075420,117.4205118002,118.0287172451,115.7617696778,116.7570149513,56075420,0.0,1.0
10,AAPL,2015-06-10 00:00:00+00:00,128.88,129.34,127.85,127.92,39087250,118.7659359662,119.1898367308,117.81676686280001,117.88127350090001,39087250,0.0,1.0
11,AAPL,2015-06-11 00:00:00+00:00,128.59,130.18,128.475,129.18,35390887,118.4986941798,119.96391638799999,118.39271898870001,119.04239298659999,35390887,0.0,1.0
12,AAPL,2015-06-12 00:00:00+00:00,127.17,128.33,127.11,128.185,36886246,117.1901309499,118.2590980955,117.1348395458,118.12547720229999,36886246,0.0,1.0
13,AAPL,2015-06-15 00:00:00+00:00,126.92,127.24,125.71,126.1,43988946,116.95975009959999,117.254637588,115.8447067839,116.20410091049999,43988946,0.0,1.0
14,AAPL,2015-06-16 00:00:00+00:00,127.6,127.85,126.37,127.03,31494131,117.5863860125,117.81676686280001,116.45291222879999,117.06111767370001,31494131,0.0,1.0
15,AAPL,2015-06-17 00:00:00+00:00,127.3,127.88,126.74,127.72,32918071,117.3099289921,117.8444125649,116.79387588729999,117.6969688207,32918071,0.0,1.0
16,AAPL,2015-06-18 00:00:00+00:00,127.88,128.31,127.22,127.23,35407220,117.8444125649,118.2406676274,117.23620712,117.245422354,35407220,0.0,1.0
